Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Ansonia Police Dept,CT,12,      19249,          28,           0,           2,          18,           8,         327,          36,         252,          39,         145.5,            .0,          10.4,          93.5,          41.6,       1698.8,         187.0,       1309.2,         202.6
Avon Police Dept,CT,12,      18098,           6,           0,           1,           1,           4,         186,          38,         147,           1,          33.2,            .0,           5.5,           5.5,          22.1,       1027.7,         210.0,         812.2,           5.5
Berlin Police Dept,CT,12,      19866,          17,           0,           2,           2,          13,         342,          68,         263,          11,          85.6,            .0,          10.1,          10.1,          65.4,       1721.5,         342.3,       1323.9,          55.4
Bethel Police Dept,CT,12,      18584,           5,           0,           1,           3,           1,         195,          31,         158,           6,          26.9,            .0,           5.4,          16.1,           5.4,       1049.3,         166.8,         850.2,          32.3
Bloomfield Police Dept,CT,12,      20486,          42,           1,           3,          15,          23,         546,          86,         437,          23,         205.0,           4.9,          14.6,          73.2,         112.3,       2665.2,         419.8,       2133.2,         112.3
Branford Police Dept,CT,12,      28026,          37,           1,           0,           6,          30,         807,         101,         656,          50,         132.0,           3.6,            .0,          21.4,         107.0,       2879.5,         360.4,       2340.7,         178.4
Bridgeport Police Dept,CT,12,     144229,       1412,          22,          57,         561,         772,       4683,       1448,       2377,         858,         979.0,          15.3,          39.5,         389.0,         535.3,       3246.9,       1004.0,       1648.1,         594.9
Bristol Police Dept,CT,12,      60477,         200,           1,          27,          32,         140,       1335,         290,         974,          71,         330.7,           1.7,          44.6,          52.9,         231.5,       2207.5,         479.5,       1610.5,         117.4
Brookfield Police Dept,CT,12,      16452,           5,           0,           0,           2,           3,         142,          38,         103,           1,          30.4,            .0,            .0,          12.2,          18.2,         863.1,         231.0,         626.1,           6.1
Canton Town Police Dept,CT,12,      10292,           5,           0,           0,           1,           4,         114,          14,          98,           2,          48.6,            .0,            .0,           9.7,          38.9,       1107.7,         136.0,         952.2,          19.4
Cheshire Police Dept,CT,12,      29261,          12,           0,           0,           2,          10,         315,          63,         241,          11,          41.0,            .0,            .0,           6.8,          34.2,       1076.5,         215.3,         823.6,          37.6
Clinton Police Dept,CT,12,      13260,          17,           0,           7,           2,           8,         391,         134,         251,           6,         128.2,            .0,          52.8,          15.1,          60.3,       2948.7,       1010.6,       1892.9,          45.2
Coventry Police Dept,CT,12,      12435,           7,           0,           1,           4,           2,         167,          45,         111,          11,          56.3,            .0,           8.0,          32.2,          16.1,       1343.0,         361.9,         892.6,          88.5
Cromwell Police Dept,CT,12,      14005,          17,           0,           1,          12,           4,         354,          48,         290,          16,         121.4,            .0,           7.1,          85.7,          28.6,       2527.7,         342.7,       2070.7,         114.2
Danbury Police Dept,CT,12,      80893,         116,           2,          21,          46,          47,       1515,         258,       1177,          80,         143.4,           2.5,          26.0,          56.9,          58.1,       1872.8,         318.9,       1455.0,          98.9
Darien Police Dept,CT,12,      20732,           1,           0,           0,           1,           0,         142,          13,         123,           6,           4.8,            .0,            .0,           4.8,            .0,         684.9,          62.7,         593.3,          28.9
Derby Police Dept,CT,12,      12902,          36,           0,           2,           9,          25,         373,          66,         277,          30,         279.0,            .0,          15.5,          69.8,         193.8,       2891.0,         511.5,       2147.0,         232.5
East Hampton Police Dept,CT,12,      12959,           9,           0,           0,           3,           6,         160,          54,          97,           9,          69.4,            .0,            .0,          23.1,          46.3,       1234.7,         416.7,         748.5,          69.4
East Hartford Police,CT,12,      51252,         187,           6,          21,          74,          86,       1546,         345,       1043,         158,         364.9,          11.7,          41.0,         144.4,         167.8,       3016.5,         673.1,       2035.0,         308.3
East Haven Police Dept,CT,12,      29257,          43,           0,           3,          20,          20,         954,         120,         751,          83,         147.0,            .0,          10.3,          68.4,          68.4,       3260.8,         410.2,       2566.9,         283.7
East Windsor Police Dept,CT,12,      11162,          13,           0,           2,           4,           7,         314,          54,         239,          21,         116.5,            .0,          17.9,          35.8,          62.7,       2813.1,         483.8,       2141.2,         188.1
Enfield Police Dept,CT,12,      44654,          40,           1,           0,           9,          30,         915,         197,         667,          51,          89.6,           2.2,            .0,          20.2,          67.2,       2049.1,         441.2,       1493.7,         114.2
Fairfield Police Dept,CT,12,      59404,          36,           0,           3,          15,          18,       1047,         118,         852,          77,          60.6,            .0,           5.1,          25.3,          30.3,       1762.5,         198.6,       1434.2,         129.6
Farmington Police Dept,CT,12,      25340,          11,           0,           6,           4,           1,         698,          40,         634,          24,          43.4,            .0,          23.7,          15.8,           3.9,       2754.5,         157.9,       2502.0,          94.7
Glastonbury Police Dept,CT,12,      34427,          30,           0,           2,          11,          17,         349,          85,         258,           6,          87.1,            .0,           5.8,          32.0,          49.4,       1013.7,         246.9,         749.4,          17.4
Granby Police Dept,CT,12,      11282,           4,           0,           1,           0,           3,         109,          22,          83,           4,          35.5,            .0,           8.9,            .0,          26.6,         966.1,         195.0,         735.7,          35.5
Greenwich Police Dept,CT,12,      61171,          24,           0,           2,           9,          13,         565,          97,         431,          37,          39.2,            .0,           3.3,          14.7,          21.3,         923.6,         158.6,         704.6,          60.5
Groton City Police Dept,CT,12,      10389,          26,           0,           4,           6,          16,         157,          27,         124,           6,         250.3,            .0,          38.5,          57.8,         154.0,       1511.2,         259.9,       1193.6,          57.8
Groton Town Police Dept,CT,12,      29208,          29,           1,           6,           8,          14,         509,          95,         403,          11,          99.3,           3.4,          20.5,          27.4,          47.9,       1742.7,         325.3,       1379.8,          37.7
Guilford Police Dept,CT,12,      22375,          20,           0,           2,           1,          17,         435,          70,         352,          13,          89.4,            .0,           8.9,           4.5,          76.0,       1944.1,         312.8,       1573.2,          58.1
Hamden Police Dept,CT,12,      60960,          59,           2,           3,          25,          29,         825,         154,         618,          53,          96.8,           3.3,           4.9,          41.0,          47.6,       1353.3,         252.6,       1013.8,          86.9
Hartford Police Dept,CT,12,     124775,       1624,          26,          46,         570,         982,       5495,       1019,       3639,         837,       1301.5,          20.8,          36.9,         456.8,         787.0,       4403.9,         816.7,       2916.4,         670.8
Madison Police Dept,CT,12,      18269,          18,           1,           3,           1,          13,         212,          59,         150,           3,          98.5,           5.5,          16.4,           5.5,          71.2,       1160.4,         323.0,         821.1,          16.4
Manchester Police Dept,CT,12,      58241,         131,           8,          11,          36,          76,       1847,         253,       1510,          84,         224.9,          13.7,          18.9,          61.8,         130.5,       3171.3,         434.4,       2592.7,         144.2
Meriden Police Dept,CT,12,      60868,         144,           0,           6,          70,          68,       1837,         416,       1289,         132,         236.6,            .0,           9.9,         115.0,         111.7,       3018.0,         683.4,       2117.7,         216.9
Middletown Police Dept,CT,12,      47648,          59,           0,           4,          20,          35,       1143,         158,         926,          59,         123.8,            .0,           8.4,          42.0,          73.5,       2398.8,         331.6,       1943.4,         123.8
Milford Police Dept,CT,12,      52759,          55,           1,           3,          19,          32,       1628,         183,       1365,          80,         104.2,           1.9,           5.7,          36.0,          60.7,       3085.7,         346.9,       2587.2,         151.6
Monroe Police Dept,CT,12,      19479,           4,           0,           0,           0,           4,         139,          36,          97,           6,          20.5,            .0,            .0,            .0,          20.5,         713.6,         184.8,         498.0,          30.8
Naugatuck Police Dept,CT,12,      31862,          31,           0,           9,           9,          13,         634,          75,         511,          48,          97.3,            .0,          28.2,          28.2,          40.8,       1989.8,         235.4,       1603.8,         150.6
New Britain Police Dept,CT,12,      73206,         308,           2,           6,         157,         143,       3052,         762,       1886,         404,         420.7,           2.7,           8.2,         214.5,         195.3,       4169.1,       1040.9,       2576.3,         551.9
New Canaan Police Dept,CT,12,      19738,           1,           0,           0,           0,           1,         135,          32,         101,           2,           5.1,            .0,            .0,            .0,           5.1,         684.0,         162.1,         511.7,          10.1
New Haven Police Dept,CT,12,     129779,       1994,          23,          70,         787,       1114,       7250,       1400,       4836,       1014,       1536.5,          17.7,          53.9,         606.4,         858.4,       5586.4,       1078.8,       3726.3,         781.3
New London Police Dept,CT,12,      27620,         285,           2,          14,          50,         219,         912,         257,         585,          70,       1031.9,           7.2,          50.7,         181.0,         792.9,       3302.0,         930.5,       2118.0,         253.4
New Milford Police Dept,CT,12,      28142,          18,           0,           3,           1,          14,         356,          18,         325,          13,          64.0,            .0,          10.7,           3.6,          49.7,       1265.0,          64.0,       1154.9,          46.2
Newington Police Dept,CT,12,      30562,          32,           0,           5,          17,          10,         814,         104,         668,          42,         104.7,            .0,          16.4,          55.6,          32.7,       2663.4,         340.3,       2185.7,         137.4
Newtown Police Dept,CT,12,      27560,          16,           1,           3,           2,          10,         207,          49,         156,           2,          58.1,           3.6,          10.9,           7.3,          36.3,         751.1,         177.8,         566.0,           7.3
North Branford Police Dept,CT,12,      14407,           8,           0,           1,           0,           7,         277,          48,         206,          23,          55.5,            .0,           6.9,            .0,          48.6,       1922.7,         333.2,       1429.9,         159.6
North Haven Police Dept,CT,12,      24093,          18,           2,           0,           9,           7,         602,          78,         508,          16,          74.7,           8.3,            .0,          37.4,          29.1,       2498.7,         323.7,       2108.5,          66.4
Norwalk Police Dept,CT,12,      85603,         343,           6,          12,         129,         196,       1882,         324,       1380,         178,         400.7,           7.0,          14.0,         150.7,         229.0,       2198.5,         378.5,       1612.1,         207.9
Norwich Police Dept,CT,12,      40493,         144,           2,          21,          46,          75,         971,         266,         656,          49,         355.6,           4.9,          51.9,         113.6,         185.2,       2397.9,         656.9,       1620.0,         121.0
Old Saybrook Police Dept,CT,12,      10242,          11,           0,           0,           3,           8,         300,          39,         257,           4,         107.4,            .0,            .0,          29.3,          78.1,       2929.1,         380.8,       2509.3,          39.1
Orange Police Dept,CT,12,      13956,           7,           0,           0,           7,           0,         386,          31,         349,           6,          50.2,            .0,            .0,          50.2,            .0,       2765.8,         222.1,       2500.7,          43.0
Plainfield Police Dept,CT,12,      15405,           7,           0,           3,           1,           3,          54,          26,          24,           4,          45.4,            .0,          19.5,           6.5,          19.5,         350.5,         168.8,         155.8,          26.0
Plainville Police Dept,CT,12,      17716,          54,           0,           0,          11,          43,         596,          59,         512,          25,         304.8,            .0,            .0,          62.1,         242.7,       3364.2,         333.0,       2890.0,         141.1
Plymouth Police Dept,CT,12,      12243,          14,           0,           2,           5,           7,         270,          58,         197,          15,         114.4,            .0,          16.3,          40.8,          57.2,       2205.3,         473.7,       1609.1,         122.5
Ridgefield Police Dept,CT,12,      24638,           3,           0,           0,           0,           3,          87,           7,          78,           2,          12.2,            .0,            .0,            .0,          12.2,         353.1,          28.4,         316.6,           8.1
Rocky Hill Police Dept,CT,12,      19709,          10,           0,           4,           4,           2,         289,          34,         238,          17,          50.7,            .0,          20.3,          20.3,          10.1,       1466.3,         172.5,       1207.6,          86.3
Seymour Police Dept,CT,12,      16540,          20,           0,           3,           3,          14,         188,          46,         123,          19,         120.9,            .0,          18.1,          18.1,          84.6,       1136.6,         278.1,         743.7,         114.9
Shelton Police Dept,CT,12,      39559,          28,           0,           5,          11,          12,         490,         115,         333,          42,          70.8,            .0,          12.6,          27.8,          30.3,       1238.7,         290.7,         841.8,         106.2
Simsbury Police Dept,CT,12,      23511,           6,           0,           1,           3,           2,         181,          20,         155,           6,          25.5,            .0,           4.3,          12.8,           8.5,         769.9,          85.1,         659.3,          25.5
South Windsor Police Dept,CT,12,      25709,           4,           0,           1,           1,           2,         408,          56,         337,          15,          15.6,            .0,           3.9,           3.9,           7.8,       1587.0,         217.8,       1310.8,          58.3
Southington Police Dept,CT,12,      43069,          26,           0,           5,          12,           9,         733,         124,         558,          51,          60.4,            .0,          11.6,          27.9,          20.9,       1701.9,         287.9,       1295.6,         118.4
Stamford Police Dept,CT,12,     122643,         351,           2,          19,         152,         178,       1979,         349,       1438,         192,         286.2,           1.6,          15.5,         123.9,         145.1,       1613.6,         284.6,       1172.5,         156.6
Stonington Police Dept,CT,12,      18545,           8,           0,           1,           5,           2,         267,          41,         222,           4,          43.1,            .0,           5.4,          27.0,          10.8,       1439.7,         221.1,       1197.1,          21.6
Stratford Police Dept,CT,12,      51384,         148,           1,          15,          43,          89,       1311,         188,       1003,         120,         288.0,           1.9,          29.2,          83.7,         173.2,       2551.4,         365.9,       1952.0,         233.5
Suffield Police Dept,CT,12,      15735,           2,           0,           0,           0,           2,         122,          50,          67,           5,          12.7,            .0,            .0,            .0,          12.7,         775.3,         317.8,         425.8,          31.8
Torrington Police Dept,CT,12,      36383,          51,           0,          20,          10,          21,         868,         141,         708,          19,         140.2,            .0,          55.0,          27.5,          57.7,       2385.7,         387.5,       1946.0,          52.2
Trumbull Police Dept,CT,12,      36018,          21,           0,           3,           8,          10,         697,          52,         610,          35,          58.3,            .0,           8.3,          22.2,          27.8,       1935.1,         144.4,       1693.6,          97.2
Vernon Police Dept,CT,12,      29179,          28,           0,           5,          11,          12,         275,          67,         190,          18,          96.0,            .0,          17.1,          37.7,          41.1,         942.5,         229.6,         651.2,          61.7
Wallingford Police Dept,CT,12,      45135,          31,           0,           4,          15,          12,         778,         101,         648,          29,          68.7,            .0,           8.9,          33.2,          26.6,       1723.7,         223.8,       1435.7,          64.3
Waterbury Police Dept,CT,12,     110366,         366,           5,           6,         176,         179,       4646,         781,       3441,         424,         331.6,           4.5,           5.4,         159.5,         162.2,       4209.6,         707.6,       3117.8,         384.2
Waterford Police Dept,CT,12,      19517,          48,           0,           4,           5,          39,         503,          58,         441,           4,         245.9,            .0,          20.5,          25.6,         199.8,       2577.2,         297.2,       2259.6,          20.5
Watertown Police Dept,CT,12,      22514,          29,           0,           3,           3,          23,         399,          71,         313,          15,         128.8,            .0,          13.3,          13.3,         102.2,       1772.2,         315.4,       1390.2,          66.6
West Hartford Police Dept,CT,12,      63268,          61,           1,           2,          44,          14,       1466,         210,       1191,          65,          96.4,           1.6,           3.2,          69.5,          22.1,       2317.1,         331.9,       1882.5,         102.7
West Haven Police Dept,CT,12,      55564,         428,           4,           1,          56,         367,       1400,         208,         995,         197,         770.3,           7.2,           1.8,         100.8,         660.5,       2519.6,         374.3,       1790.7,         354.5
Weston Police Dept,CT,12,      10179,           1,           0,           1,           0,           0,          68,           7,          58,           3,           9.8,            .0,           9.8,            .0,            .0,         668.0,          68.8,         569.8,          29.5
Westport Police Dept,CT,12,      26391,          14,           0,           2,           5,           7,         393,          76,         301,          16,          53.0,            .0,           7.6,          18.9,          26.5,       1489.1,         288.0,       1140.5,          60.6
Wethersfield Police Dept,CT,12,      26668,          24,           0,           1,           9,          14,         483,          82,         381,          20,          90.0,            .0,           3.7,          33.7,          52.5,       1811.2,         307.5,       1428.7,          75.0
Willimantic Police Dept,CT,12,      17737,          50,           0,           9,          17,          24,         471,          93,         332,          46,         281.9,            .0,          50.7,          95.8,         135.3,       2655.5,         524.3,       1871.8,         259.3
Wilton Police Dept,CT,12,      18062,           0,           0,           0,           0,           0,          97,          20,          77,           0,            .0,            .0,            .0,            .0,            .0,         537.0,         110.7,         426.3,            .0
Winchester Town Police Dept,CT,12,      11242,          22,           0,           3,           3,          16,         220,          69,         138,          13,         195.7,            .0,          26.7,          26.7,         142.3,       1956.9,         613.8,       1227.5,         115.6
Windsor Police Dept,CT,12,      29044,          23,           1,           3,           8,          11,         504,          74,         405,          25,          79.2,           3.4,          10.3,          27.5,          37.9,       1735.3,         254.8,       1394.4,          86.1
Windsor Locks Police Dept,CT,12,      12498,          26,           0,           8,           9,           9,         259,          42,         203,          14,         208.0,            .0,          64.0,          72.0,          72.0,       2072.3,         336.1,       1624.3,         112.0
Wolcott Police Dept,CT,12,      16680,           4,           1,           1,           1,           1,         266,          54,         204,           8,          24.0,           6.0,           6.0,           6.0,           6.0,       1594.7,         323.7,       1223.0,          48.0
