"Location","2010"
"Andover","35"
"Ansonia","355"
"Ashford","34"
"Avon","192"
"Barkhamsted","20"
"Beacon Falls","93"
"Berlin","360"
"Bethany","42"
"Bethel","202"
"Bethlehem","20"
"Bloomfield","595"
"Bolton","37"
"Bozrah","32"
"Branford","846"
"Bridgeport","6,081"
"Bridgewater","15"
"Bristol","1,512"
"Brookfield","149"
"Brooklyn","88"
"Burlington","61"
"Canaan","13"
"Canterbury","40"
"Canton","122"
"Chaplin","24"
"Cheshire","336"
"Chester","45"
"Clinton","410"
"Colchester","184"
"Colebrook","13"
"Columbia","54"
"Connecticut","88,534"
"Cornwall","22"
"Coventry","175"
"Cromwell","371"
"Danbury","1,628"
"Darien","146"
"Deep River","58"
"Derby","410"
"Durham","54"
"East Granby","52"
"East Haddam","126"
"East Hampton","171"
"East Hartford","1,756"
"East Haven","1,000"
"East Lyme","209"
"East Windsor","336"
"Eastford","10"
"Easton","35"
"Ellington","68"
"Enfield","955"
"Essex","41"
"Fairfield","1,083"
"Farmington","710"
"Franklin","46"
"Glastonbury","393"
"Goshen","17"
"Granby","113"
"Greenwich","597"
"Griswold","120"
"Groton","185"
"Guilford","455"
"Haddam","60"
"Hamden","891"
"Hampton","19"
"Hartford","7,119"
"Hartland","12"
"Harwinton","34"
"Hebron","78"
"Kent","28"
"Killingly","215"
"Killingworth","31"
"Lebanon","64"
"Ledyard","153"
"Lisbon","106"
"Litchfield","84"
"Lyme","15"
"Madison","230"
"Manchester","1,978"
"Mansfield","186"
"Marlborough","72"
"Meriden","1,981"
"Middlebury","99"
"Middlefield","46"
"Middletown","1,202"
"Milford","1,683"
"Monroe","143"
"Montville","129"
"Morris","14"
"Naugatuck","664"
"New Britain","3,360"
"New Canaan","138"
"New Fairfield","69"
"New Hartford","40"
"New Haven","9,270"
"New London","1,195"
"New Milford","417"
"Newington","846"
"Newtown","225"
"Norfolk","14"
"North Branford","288"
"North Canaan","43"
"North Haven","621"
"North Stonington","68"
"Norwalk","2,230"
"Norwich","1,115"
"Old Lyme","53"
"Old Saybrook","311"
"Orange","401"
"Oxford","93"
"Plainfield","62"
"Plainville","650"
"Plymouth","285"
"Pomfret","37"
"Portland","83"
"Preston","59"
"Prospect","79"
"Putnam","264"
"Redding","75"
"Ridgefield","90"
"Rocky Hill","298"
"Roxbury","11"
"Salem","43"
"Salisbury","45"
"Scotland","13"
"Seymour","209"
"Sharon","33"
"Shelton","521"
"Sherman","23"
"Simsbury","188"
"Somers","107"
"South Windsor","412"
"Southbury","218"
"Southington","762"
"Sprague","33"
"Stafford","82"
"Stamford","2,329"
"Sterling","39"
"Stonington","274"
"Stratford","1,494"
"Suffield","124"
"Thomaston","136"
"Thompson","76"
"Tolland","60"
"Torrington","918"
"Trumbull","719"
"Union","4"
"Vernon","304"
"Voluntown","25"
"Wallingford","816"
"Warren","6"
"Washington","38"
"Waterbury","5,012"
"Waterford","550"
"Watertown","437"
"West Hartford","1,526"
"West Haven","1,828"
"Westbrook","67"
"Weston","69"
"Westport","408"
"Wethersfield","508"
"Willington","46"
"Wilton","97"
"Winchester","244"
"Windham","677"
"Windsor","530"
"Windsor Locks","286"
"Wolcott","273"
"Woodbridge","159"
"Woodbury","84"
"Woodstock","51"